date,negative,neutral,positive
2017-08-16,25,18,57
2017-08-17,28,17,55
2017-08-18,36,14,50
2017-08-19,23,18,59
2017-08-20,24,13,63
2017-08-21,23,26,51
2017-08-22,25,18,57
2017-08-23,22,18,60
2017-08-24,29,11,60
2017-08-25,24,17,59
2017-08-26,19,18,63
2017-08-27,28,16,56
2017-08-28,23,22,55
2017-08-29,22,22,56
2017-08-30,34,16,50
2017-08-31,31,14,55
2017-09-01,23,13,64
2017-09-02,29,11,60
2017-09-03,20,17,63
2017-09-04,17,23,60
2017-09-05,21,25,54
2017-09-06,24,18,58
2017-09-07,27,11,62
2017-09-08,32,28,40
2017-09-09,24,15,61
2017-09-10,43,9,48
2017-09-11,23,19,58
2017-09-12,24,16,60
2017-09-13,22,12,66
2017-09-14,36,22,42
2017-09-15,23,25,52
2017-09-16,10,20,70
2017-09-17,29,12,59
2017-09-18,18,19,63
2017-09-19,18,19,63
2017-09-20,17,20,63
2017-09-21,25,23,52
2017-09-22,17,23,60
2017-09-23,28,16,56
2017-09-24,32,13,55
2017-09-25,22,18,60
2017-09-26,16,23,61
2017-09-27,17,23,60
2017-09-28,26,17,57
2017-09-29,17,30,53
2017-09-30,23,20,57
2017-10-01,22,16,62
2017-10-02,21,24,55
2017-10-03,24,20,56
2017-10-04,12,46,42
2017-10-05,16,34,50
2017-10-06,23,23,54
2017-10-07,25,20,55
2017-10-08,27,16,57
2017-10-09,23,23,54
2017-10-10,34,15,51
2017-10-11,30,12,58
2017-10-12,23,18,59
2017-10-13,20,20,60
2017-10-14,16,20,64
2017-10-15,38,7,55
2017-10-16,20,30,50
2017-10-17,20,25,55
2017-10-18,25,18,57
2017-10-19,25,16,59
2017-10-20,17,19,64
2017-10-21,23,22,55
2017-10-22,28,10,62
2017-10-23,19,20,61
2017-10-24,23,18,59
2017-10-25,19,27,54
2017-10-26,25,16,59
2017-10-27,17,13,70
2017-10-28,23,25,52
2017-10-29,19,23,58
2017-10-30,25,16,59
2017-10-31,26,33,41
2017-11-01,25,22,53
2017-11-02,20,21,59
2017-11-03,24,14,62
2017-11-04,25,11,64
2017-11-05,26,18,56
2017-11-06,12,20,68
2017-11-07,23,26,51
2017-11-08,26,11,63
2017-11-09,29,13,58
2017-11-10,19,23,58
2017-11-11,17,8,75
2017-11-12,23,18,59
2017-11-13,19,21,60
2017-11-14,21,19,60
2017-11-15,19,24,57
2017-11-16,29,18,53
2017-11-17,22,18,60
2017-11-18,29,21,50
2017-11-19,25,17,58
2017-11-20,21,21,58
2017-11-21,19,23,58
2017-11-22,29,10,61
2017-11-23,18,21,61
2017-11-24,24,18,58
2017-11-25,25,17,58
2017-11-26,26,16,58
2017-11-27,19,13,68
2017-11-28,23,19,58
2017-11-29,21,14,65
2017-11-30,19,12,69
2017-12-01,26,22,52
2017-12-02,23,14,63
2017-12-03,14,15,71
2017-12-04,22,18,60
2017-12-05,25,29,46
2017-12-06,41,11,48
2017-12-07,19,14,67
2017-12-08,23,15,62
2017-12-09,17,15,68
2017-12-10,29,15,56
2017-12-11,23,19,58
2017-12-12,24,18,58
2017-12-13,18,26,56
2017-12-14,24,30,46
2017-12-15,25,11,64
2017-12-16,19,12,69
2017-12-17,28,15,57
2017-12-18,16,16,68
2017-12-19,14,23,63
2017-12-20,29,18,53
2017-12-21,20,22,58
2017-12-22,22,23,55
2017-12-23,17,13,70
2017-12-24,20,17,63
2017-12-25,27,12,61
2017-12-26,15,21,64
2017-12-27,12,17,71
2017-12-28,21,18,61
2017-12-29,20,14,66
2017-12-30,19,16,65
2017-12-31,27,16,57
2018-01-01,23,21,56
2018-01-02,19,31,50
2018-01-03,25,18,57
2018-01-04,11,16,73
2018-01-05,19,21,60
2018-01-06,22,14,64
2018-01-07,18,24,58
2018-01-08,39,17,44
2018-01-09,27,27,46
2018-01-10,24,20,56
2018-01-11,27,17,56
2018-01-12,31,24,45
2018-01-13,17,18,65
2018-01-14,16,15,69
2018-01-15,19,19,62
2018-01-16,19,15,66
2018-01-17,24,33,43
2018-01-18,15,27,58
2018-01-19,20,22,58
2018-01-20,25,25,50
2018-01-21,26,12,62
2018-01-22,25,18,57
2018-01-23,21,14,65
2018-01-24,20,12,68
2018-01-25,18,9,73
2018-01-26,22,20,58
2018-01-27,20,10,70
2018-01-28,21,10,69
2018-01-29,25,14,61
2018-01-30,20,15,65
2018-01-31,26,22,52
2018-02-01,16,16,68
2018-02-02,27,15,58
2018-02-03,24,15,61
2018-02-04,23,17,60
2018-02-05,22,13,65
2018-02-06,25,18,57
2018-02-07,21,31,48
2018-02-08,27,15,58
2018-02-09,18,25,57
2018-02-10,27,12,61
2018-02-11,22,23,55
2018-02-12,20,22,58
2018-02-13,23,15,62
2018-02-14,13,22,65
2018-02-15,23,25,52
2018-02-16,21,17,62
2018-02-17,33,17,50
2018-02-18,27,22,51
2018-02-19,19,19,62
2018-02-20,22,24,54
2018-02-21,11,24,65
2018-02-22,25,17,58
2018-02-23,21,16,63
2018-02-24,19,15,66
2018-02-25,19,15,66
2018-02-26,17,25,58
2018-02-27,22,29,49
2018-02-28,25,27,48
2018-03-01,25,17,58
2018-03-02,28,25,47
2018-03-03,32,11,57
2018-03-04,19,23,58
2018-03-05,21,19,60
2018-03-06,20,21,59
2018-03-07,17,29,54
2018-03-08,21,23,56
2018-03-09,19,24,57
2018-03-10,31,15,54
2018-03-11,20,24,56
2018-03-12,21,19,60
2018-03-13,19,26,55
2018-03-14,26,25,49
2018-03-15,18,22,60
2018-03-16,17,16,67
2018-03-17,23,15,62
2018-03-18,38,13,49
2018-03-19,26,23,51
2018-03-20,23,32,45
2018-03-21,19,16,65
2018-03-22,15,15,70
2018-03-23,27,20,53
2018-03-24,18,30,52
2018-03-25,25,16,59
2018-03-26,22,23,55
2018-03-27,15,29,56
2018-03-28,19,27,54
2018-03-29,17,21,62
2018-03-30,21,25,54
2018-03-31,22,22,56
2018-04-01,21,32,47
2018-04-02,23,27,50
2018-04-03,21,27,52
2018-04-04,22,27,51
2018-04-05,23,23,54
2018-04-06,23,25,52
2018-04-07,20,16,64
2018-04-08,27,13,60
2018-04-09,22,19,59
2018-04-10,21,22,57
2018-04-11,20,17,63
2018-04-12,15,21,64
2018-04-13,23,19,58
2018-04-14,20,28,52
2018-04-15,34,14,52
2018-04-16,22,21,57
2018-04-17,26,11,63
2018-04-18,24,13,63
2018-04-19,27,28,45
2018-04-20,15,22,63
2018-04-21,22,19,59
2018-04-22,17,22,61
2018-04-23,29,20,51
2018-04-24,19,16,65
2018-04-25,16,26,58
2018-04-26,36,24,40
2018-04-27,22,19,59
2018-04-28,26,17,57
2018-04-29,16,23,61
2018-04-30,17,17,66
2018-05-01,21,21,58
2018-05-02,20,22,58
2018-05-03,16,18,66
2018-05-04,14,38,48
2018-05-05,25,25,50
2018-05-06,19,22,59
2018-05-07,18,23,59
2018-05-08,17,42,41
2018-05-09,17,28,55
2018-05-10,19,33,48
2018-05-11,18,22,60
2018-05-12,26,11,63
2018-05-13,26,24,50
2018-05-14,23,20,57
2018-05-15,21,16,63
2018-05-16,12,25,63
2018-05-17,17,16,67
2018-05-18,32,21,47
2018-05-19,23,19,58
2018-05-20,21,16,63
2018-05-21,17,15,68
2018-05-22,18,35,47
2018-05-23,15,22,63
2018-05-24,11,28,61
2018-05-25,17,23,60
2018-05-26,25,13,62
2018-05-27,23,19,58
2018-05-28,21,16,63
2018-05-29,22,20,58
2018-05-30,23,28,49
2018-05-31,24,25,51
2018-06-01,18,16,66
2018-06-02,22,19,59
2018-06-03,27,20,53
2018-06-04,22,16,62
2018-06-05,33,18,49
2018-06-06,22,32,46
2018-06-07,35,23,42
2018-06-08,26,16,58
2018-06-09,19,14,67
2018-06-10,21,23,56
2018-06-11,25,20,55
2018-06-12,25,20,55
2018-06-13,19,14,67
2018-06-14,18,18,64
2018-06-15,20,15,65
2018-06-16,22,18,60
2018-06-17,25,14,61
2018-06-18,22,18,60
2018-06-19,22,23,55
2018-06-20,18,18,64
2018-06-21,27,13,60
2018-06-22,19,14,67
2018-06-23,30,22,48
2018-06-24,14,16,70
2018-06-25,19,16,65
2018-06-26,27,19,54
2018-06-27,18,30,52
2018-06-28,24,17,59
2018-06-29,19,23,58
2018-06-30,20,18,62
2018-07-01,28,9,63
2018-07-02,29,18,53
2018-07-03,30,19,51
2018-07-04,16,27,57
2018-07-05,24,18,58
2018-07-06,22,17,61
2018-07-07,21,18,61
2018-07-08,22,17,61
2018-07-09,21,26,53
2018-07-10,24,12,64
2018-07-11,18,24,58
2018-07-12,24,17,59
2018-07-13,30,17,53
2018-07-14,16,26,58
